Ward_Code,Month,Predicted_Burglary_Count
E05009317,2025-03,15
E05009317,2025-04,15
E05009317,2025-05,13
E05009317,2025-06,13
E05009317,2025-07,14
E05009317,2025-08,14
E05009317,2025-09,13
E05009317,2025-10,15
E05009317,2025-11,12
E05009317,2025-12,12
E05009318,2025-03,9
E05009318,2025-04,6
E05009318,2025-05,10
E05009318,2025-06,8
E05009318,2025-07,8
E05009318,2025-08,7
E05009318,2025-09,8
E05009318,2025-10,7
E05009318,2025-11,6
E05009318,2025-12,10
E05009319,2025-03,15
E05009319,2025-04,15
E05009319,2025-05,12
E05009319,2025-06,10
E05009319,2025-07,16
E05009319,2025-08,14
E05009319,2025-09,11
E05009319,2025-10,16
E05009319,2025-11,15
E05009319,2025-12,13
E05009320,2025-03,5
E05009320,2025-04,5
E05009320,2025-05,2
E05009320,2025-06,3
E05009320,2025-07,6
E05009320,2025-08,2
E05009320,2025-09,5
E05009320,2025-10,7
E05009320,2025-11,6
E05009320,2025-12,7
E05009321,2025-03,6
E05009321,2025-04,4
E05009321,2025-05,5
E05009321,2025-06,6
E05009321,2025-07,6
E05009321,2025-08,8
E05009321,2025-09,6
E05009321,2025-10,6
E05009321,2025-11,6
E05009321,2025-12,6
E05009322,2025-03,7
E05009322,2025-04,5
E05009322,2025-05,6
E05009322,2025-06,4
E05009322,2025-07,5
E05009322,2025-08,7
E05009322,2025-09,7
E05009322,2025-10,6
E05009322,2025-11,6
E05009322,2025-12,5
E05009323,2025-03,11
E05009323,2025-04,11
E05009323,2025-05,10
E05009323,2025-06,13
E05009323,2025-07,10
E05009323,2025-08,13
E05009323,2025-09,12
E05009323,2025-10,12
E05009323,2025-11,13
E05009323,2025-12,12
E05009324,2025-03,4
E05009324,2025-04,3
E05009324,2025-05,4
E05009324,2025-06,5
E05009324,2025-07,6
E05009324,2025-08,5
E05009324,2025-09,3
E05009324,2025-10,4
E05009324,2025-11,5
E05009324,2025-12,5
E05009325,2025-03,15
E05009325,2025-04,8
E05009325,2025-05,10
E05009325,2025-06,14
E05009325,2025-07,11
E05009325,2025-08,14
E05009325,2025-09,13
E05009325,2025-10,12
E05009325,2025-11,16
E05009325,2025-12,17
E05009326,2025-03,4
E05009326,2025-04,5
E05009326,2025-05,6
E05009326,2025-06,5
E05009326,2025-07,5
E05009326,2025-08,5
E05009326,2025-09,4
E05009326,2025-10,6
E05009326,2025-11,6
E05009326,2025-12,5
E05009327,2025-03,13
E05009327,2025-04,13
E05009327,2025-05,14
E05009327,2025-06,8
E05009327,2025-07,11
E05009327,2025-08,16
E05009327,2025-09,11
