Ward code,ward name,local authority code,local authority name,All Households,Occupancy rating: +2 or more,+1,0,-1,-2 or less,+2 or more_pct,+1_pct,0_pct,-1_pct,-2 or less_pct
E05009317,Bethnal Green,E09000030,Tower Hamlets,7378,614,1751,3576,1110,327,8.32,23.73,48.47,15.04,4.43
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,9679,602,2471,5586,831,189,6.22,25.53,57.71,8.59,1.95
E05009319,Bow East,E09000030,Tower Hamlets,8405,505,2378,4541,815,166,6.01,28.29,54.03,9.7,1.98
E05009320,Bow West,E09000030,Tower Hamlets,5288,833,1372,2350,530,203,15.75,25.95,44.44,10.02,3.84
E05009321,Bromley North,E09000030,Tower Hamlets,4428,273,934,2356,668,197,6.17,21.09,53.21,15.09,4.45
E05009322,Bromley South,E09000030,Tower Hamlets,5136,295,990,2823,802,226,5.74,19.28,54.96,15.62,4.4
E05009323,Canary Wharf,E09000030,Tower Hamlets,8525,380,2076,5235,723,111,4.46,24.35,61.41,8.48,1.3
E05009324,Island Gardens,E09000030,Tower Hamlets,5984,625,1825,2841,566,127,10.44,30.5,47.48,9.46,2.12
E05009325,Lansbury,E09000030,Tower Hamlets,7533,563,1628,3735,1238,369,7.47,21.61,49.58,16.43,4.9
E05009326,Limehouse,E09000030,Tower Hamlets,2997,257,1024,1423,232,61,8.58,34.17,47.48,7.74,2.04
E05009327,Mile End,E09000030,Tower Hamlets,7835,561,1758,3983,1199,334,7.16,22.44,50.84,15.3,4.26
E05009328,Poplar,E09000030,Tower Hamlets,2830,225,564,1381,542,118,7.95,19.93,48.8,19.15,4.17
E05009329,St Dunstan's,E09000030,Tower Hamlets,4627,358,977,2249,761,282,7.74,21.12,48.61,16.45,6.09
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,5801,531,1939,2927,328,76,9.15,33.43,50.46,5.65,1.31
E05009331,St Peter's,E09000030,Tower Hamlets,7494,540,1626,4128,902,298,7.21,21.7,55.08,12.04,3.98
E05009332,Shadwell,E09000030,Tower Hamlets,4390,312,879,2163,744,292,7.11,20.02,49.27,16.95,6.65
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,5004,369,1154,2674,583,224,7.37,23.06,53.44,11.65,4.48
E05009334,Stepney Green,E09000030,Tower Hamlets,4367,382,919,2065,760,241,8.75,21.04,47.29,17.4,5.52
E05009335,Weavers,E09000030,Tower Hamlets,5422,392,1327,2921,619,163,7.23,24.47,53.87,11.42,3.01
E05009336,Whitechapel,E09000030,Tower Hamlets,7355,404,1569,4204,943,235,5.49,21.33,57.16,12.82,3.2
E05009367,Brownswood,E09000012,Hackney,4088,413,1046,2225,348,56,10.1,25.59,54.43,8.51,1.37
E05009368,Cazenove,E09000012,Hackney,5166,676,1091,2520,704,175,13.09,21.12,48.78,13.63,3.39
E05009369,Clissold,E09000012,Hackney,5429,844,1476,2613,427,69,15.55,27.19,48.13,7.87,1.27
E05009370,Dalston,E09000012,Hackney,4046,431,959,2309,286,61,10.65,23.7,57.07,7.07,1.51
E05009371,De Beauvoir,E09000012,Hackney,4004,540,1148,1912,343,61,13.49,28.67,47.75,8.57,1.52
E05009372,Hackney Central,E09000012,Hackney,5771,450,1305,3338,577,101,7.8,22.61,57.84,10.0,1.75
E05009373,Hackney Downs,E09000012,Hackney,5376,660,1214,2755,576,171,12.28,22.58,51.25,10.71,3.18
E05009374,Hackney Wick,E09000012,Hackney,4960,618,1222,2442,561,117,12.46,24.64,49.23,11.31,2.36
E05009375,Haggerston,E09000012,Hackney,6266,535,1606,3360,645,120,8.54,25.63,53.62,10.29,1.92
E05009376,Homerton,E09000012,Hackney,5228,446,1168,2800,674,140,8.53,22.34,53.56,12.89,2.68
E05009377,Hoxton East & Shoreditch,E09000012,Hackney,5540,344,1478,3075,557,86,6.21,26.68,55.51,10.05,1.55
E05009378,Hoxton West,E09000012,Hackney,6324,482,1594,3547,605,96,7.62,25.21,56.09,9.57,1.52
E05009379,King's Park,E09000012,Hackney,5035,811,1194,2310,551,169,16.11,23.71,45.88,10.94,3.36
E05009380,Lea Bridge,E09000012,Hackney,5493,896,1275,2614,566,142,16.31,23.21,47.59,10.3,2.59
E05009381,London Fields,E09000012,Hackney,5427,712,1420,2762,449,84,13.12,26.17,50.89,8.27,1.55
E05009382,Shacklewell,E09000012,Hackney,3640,358,956,1831,392,103,9.84,26.26,50.3,10.77,2.83
E05009383,Springfield,E09000012,Hackney,5233,820,967,2450,781,215,15.67,18.48,46.82,14.92,4.11
E05009384,Stamford Hill West,E09000012,Hackney,3255,527,636,1478,495,119,16.19,19.54,45.41,15.21,3.66
E05009385,Stoke Newington,E09000012,Hackney,5656,1026,1440,2665,444,81,18.14,25.46,47.12,7.85,1.43
E05009386,Victoria,E09000012,Hackney,5231,599,1425,2583,518,106,11.45,27.24,49.38,9.9,2.03
E05009387,Woodberry Down,E09000012,Hackney,5000,423,1202,2633,587,155,8.46,24.04,52.66,11.74,3.1
E05009388,Abingdon,E09000020,Kensington and Chelsea,3896,781,1275,1586,190,64,20.05,32.73,40.71,4.88,1.64
E05009389,Brompton & Hans Town,E09000020,Kensington and Chelsea,4174,866,1337,1811,125,35,20.75,32.03,43.39,2.99,0.84
E05009390,Campden,E09000020,Kensington and Chelsea,3827,968,1232,1431,165,31,25.29,32.19,37.39,4.31,0.81
E05009391,Chelsea Riverside,E09000020,Kensington and Chelsea,3681,569,1025,1749,295,43,15.46,27.85,47.51,8.01,1.17
E05009392,Colville,E09000020,Kensington and Chelsea,4340,398,1120,2381,335,106,9.17,25.81,54.86,7.72,2.44
E05009393,Courtfield,E09000020,Kensington and Chelsea,4125,653,1364,1941,132,35,15.83,33.07,47.05,3.2,0.85
E05009394,Dalgarno,E09000020,Kensington and Chelsea,2714,342,629,1270,352,121,12.6,23.18,46.79,12.97,4.46
E05009395,Earl's Court,E09000020,Kensington and Chelsea,4669,378,1282,2688,237,84,8.1,27.46,57.57,5.08,1.8
E05009396,Golborne,E09000020,Kensington and Chelsea,3830,252,779,2170,461,168,6.58,20.34,56.66,12.04,4.39
E05009397,Holland,E09000020,Kensington and Chelsea,3891,707,1235,1574,272,103,18.17,31.74,40.45,6.99,2.65
E05009398,Norland,E09000020,Kensington and Chelsea,2585,646,706,1120,100,13,24.99,27.31,43.33,3.87,0.5
E05009399,Notting Dale,E09000020,Kensington and Chelsea,3757,387,789,1956,407,218,10.3,21.0,52.06,10.83,5.8
E05009400,Pembridge,E09000020,Kensington and Chelsea,2666,384,778,1372,118,14,14.4,29.18,51.46,4.43,0.53
E05009401,Queen's Gate,E09000020,Kensington and Chelsea,3571,771,1226,1391,122,61,21.59,34.33,38.95,3.42,1.71
E05009402,Redcliffe,E09000020,Kensington and Chelsea,4387,692,1446,2040,196,13,15.77,32.96,46.5,4.47,0.3
E05009403,Royal Hospital,E09000020,Kensington and Chelsea,3915,849,1179,1662,150,75,21.69,30.11,42.45,3.83,1.92
E05009404,St Helen's,E09000020,Kensington and Chelsea,2800,409,730,1362,224,75,14.61,26.07,48.64,8.0,2.68
E05009405,Stanley,E09000020,Kensington and Chelsea,4056,842,1163,1763,228,60,20.76,28.67,43.47,5.62,1.48
E05011095,Borough & Bankside,E09000028,Southwark,4259,319,1237,2391,260,52,7.49,29.04,56.14,6.1,1.22
E05011096,Camberwell Green,E09000028,Southwark,6691,630,1570,3486,773,232,9.42,23.46,52.1,11.55,3.47
E05011097,Champion Hill,E09000028,Southwark,3929,649,1127,1687,360,106,16.52,28.68,42.94,9.16,2.7
E05011098,Chaucer,E09000028,Southwark,6227,374,1650,3331,699,173,6.01,26.5,53.49,11.23,2.78
