Ward code,Year,population,Square Kilometres,Population Density
E05009317,2013,14803.0,0.868,17068.68
E05009317,2014,15207.666666666666,0.868,17534.02
E05009317,2015,15666.666666666666,0.868,18058.62
E05009317,2016,15939.0,0.868,18372.89
E05009317,2017,15867.0,0.868,18292.44
E05009317,2018,15803.333333333334,0.868,18222.58
E05009317,2019,15752.666666666666,0.868,18167.57
E05009317,2020,15634.333333333334,0.868,18032.86
E05009317,2021,15476.666666666666,0.868,17852.08
E05009317,2022,15317.333333333334,0.868,17669.87
E05009317,2023,15316.666666666666,0.868,17670.91
E05009317,2024,15349.666666666666,0.868,17710.08
E05009317,2025,15412.0,0.868,17781.52
E05009318,2013,23299.5,2.7125000000000004,8713.65
E05009318,2014,24081.5,2.7125000000000004,9003.91
E05009318,2015,24955.5,2.7125000000000004,9326.13
E05009318,2016,25868.0,2.7125000000000004,9663.51
E05009318,2017,28023.0,2.7125000000000004,10456.73
E05009318,2018,30273.5,2.7125000000000004,11286.5
E05009318,2019,32571.0,2.7125000000000004,12133.44
E05009318,2020,34370.5,2.7125000000000004,12790.93
E05009318,2021,36053.5,2.7125000000000004,13404.97
E05009318,2022,37651.5,2.7125000000000004,13988.02
E05009318,2023,39632.5,2.7125000000000004,14712.92
E05009318,2024,41663.5,2.7125000000000004,15456.15
E05009318,2025,43124.0,2.7125000000000004,15994.74
E05009319,2013,15850.0,1.858,8530.68
E05009319,2014,16496.0,1.858,8878.36
E05009319,2015,17222.0,1.858,9269.11
E05009319,2016,18003.0,1.858,9689.45
E05009319,2017,18180.0,1.858,9784.71
E05009319,2018,18381.0,1.858,9892.9
E05009319,2019,18596.0,1.858,10008.61
E05009319,2020,19334.0,1.858,10405.81
E05009319,2021,20025.0,1.858,10777.72
E05009319,2022,20700.0,1.858,11141.01
E05009319,2023,21559.0,1.858,11603.34
E05009319,2024,22447.0,1.858,12081.27
E05009319,2025,22941.0,1.858,12347.15
E05009320,2013,13407.0,1.347,9953.23
E05009320,2014,14002.0,1.347,10394.95
E05009320,2015,14278.0,1.347,10599.85
E05009320,2016,14628.0,1.347,10859.69
E05009320,2017,14487.0,1.347,10755.01
E05009320,2018,14394.0,1.347,10685.97
E05009320,2019,14322.0,1.347,10632.52
E05009320,2020,14155.0,1.347,10508.54
E05009320,2021,13955.0,1.347,10360.06
E05009320,2022,13746.0,1.347,10204.9
E05009320,2023,13666.0,1.347,10145.51
E05009320,2024,13608.0,1.347,10102.45
E05009320,2025,13533.0,1.347,10046.77
E05009321,2013,16393.5,1.072,15291.29
E05009321,2014,17325.5,1.072,16160.47
E05009321,2015,18090.5,1.072,16873.78
E05009321,2016,18627.0,1.072,17373.91
E05009321,2017,19026.5,1.072,17746.38
E05009321,2018,19464.5,1.072,18154.73
E05009321,2019,19898.5,1.072,18559.34
E05009321,2020,19911.5,1.072,18571.22
E05009321,2021,19895.0,1.072,18555.58
E05009321,2022,19853.0,1.072,18516.18
E05009321,2023,20001.5,1.072,18654.43
E05009321,2024,20176.0,1.072,18816.94
E05009321,2025,20442.5,1.072,19065.15
E05009322,2013,17088.0,1.074,15910.61
E05009322,2014,18148.0,1.074,16897.58
E05009322,2015,19093.0,1.074,17777.47
E05009322,2016,19826.0,1.074,18459.96
E05009322,2017,20340.0,1.074,18938.55
E05009322,2018,20912.0,1.074,19471.14
E05009322,2019,21486.0,1.074,20005.59
E05009322,2020,21637.0,1.074,20146.18
E05009322,2021,21767.0,1.074,20267.23
E05009322,2022,21852.0,1.074,20346.37
E05009322,2023,22155.0,1.074,20628.49
E05009322,2024,22487.0,1.074,20937.62
E05009322,2025,22978.0,1.074,21394.79
E05009323,2013,23299.5,2.7125000000000004,8713.65
E05009323,2014,24081.5,2.7125000000000004,9003.91
E05009323,2015,24955.5,2.7125000000000004,9326.13
E05009323,2016,25868.0,2.7125000000000004,9663.51
E05009323,2017,28023.0,2.7125000000000004,10456.73
E05009323,2018,30273.5,2.7125000000000004,11286.5
E05009323,2019,32571.0,2.7125000000000004,12133.44
E05009323,2020,34370.5,2.7125000000000004,12790.93
E05009323,2021,36053.5,2.7125000000000004,13404.97
E05009323,2022,37651.5,2.7125000000000004,13988.02
E05009323,2023,39632.5,2.7125000000000004,14712.92
E05009323,2024,41663.5,2.7125000000000004,15456.15
E05009323,2025,43124.0,2.7125000000000004,15994.74
E05009324,2013,23299.5,2.7125000000000004,8713.65
E05009324,2014,24081.5,2.7125000000000004,9003.91
E05009324,2015,24955.5,2.7125000000000004,9326.13
E05009324,2016,25868.0,2.7125000000000004,9663.51
E05009324,2017,28023.0,2.7125000000000004,10456.73
E05009324,2018,30273.5,2.7125000000000004,11286.5
E05009324,2019,32571.0,2.7125000000000004,12133.44
E05009324,2020,34370.5,2.7125000000000004,12790.93
E05009324,2021,36053.5,2.7125000000000004,13404.97
E05009324,2022,37651.5,2.7125000000000004,13988.02
