Ward code,Order,Seasonal order
E05014058,"(1, 0, 0)","(2, 1, 1, 12)"
E05014071,"(0, 0, 1)","(0, 1, 1, 12)"
E05014059,"(0, 0, 0)","(1, 1, 2, 12)"
E05014069,"(0, 0, 0)","(2, 1, 0, 12)"
E05014063,"(0, 0, 0)","(3, 1, 0, 12)"
E05014067,"(1, 0, 0)","(3, 1, 1, 12)"
E05014057,"(2, 0, 0)","(0, 1, 1, 12)"
E05014065,"(0, 0, 0)","(2, 1, 1, 12)"
E05014054,"(0, 0, 0)","(3, 1, 0, 12)"
E05014070,"(1, 0, 1)","(2, 1, 0, 12)"
E05014064,"(0, 0, 0)","(3, 1, 0, 12)"
E05014062,"(0, 0, 1)","(0, 1, 1, 12)"
E05014056,"(0, 0, 0)","(0, 1, 1, 12)"
E05014066,"(1, 0, 0)","(3, 1, 1, 12)"
E05014053,"(0, 0, 0)","(3, 1, 0, 12)"
E05014060,"(1, 0, 0)","(0, 0, 0, 12)"
E05014055,"(1, 0, 0)","(2, 1, 0, 12)"
E05014061,"(0, 0, 0)","(3, 1, 0, 12)"
E05014068,"(0, 0, 0)","(0, 1, 1, 12)"
E05013644,"(2, 0, 0)","(0, 1, 2, 12)"
E05013647,"(0, 0, 2)","(0, 1, 1, 12)"
E05013635,"(2, 0, 0)","(3, 1, 0, 12)"
E05013628,"(2, 0, 0)","(0, 1, 2, 12)"
E05013638,"(2, 0, 2)","(0, 0, 0, 12)"
E05013646,"(1, 0, 1)","(3, 1, 0, 12)"
E05013650,"(0, 0, 0)","(3, 1, 0, 12)"
E05013629,"(0, 0, 1)","(0, 1, 1, 12)"
E05013640,"(0, 0, 0)","(3, 1, 1, 12)"
E05013651,"(1, 0, 1)","(2, 1, 0, 12)"
E05013637,"(1, 0, 0)","(1, 1, 0, 12)"
E05013645,"(1, 0, 1)","(0, 1, 1, 12)"
E05013630,"(3, 0, 0)","(2, 1, 1, 12)"
E05013648,"(0, 0, 0)","(2, 1, 0, 12)"
E05013639,"(0, 0, 1)","(3, 1, 0, 12)"
E05013632,"(0, 0, 2)","(3, 1, 0, 12)"
E05013636,"(0, 0, 0)","(0, 1, 1, 12)"
E05013633,"(2, 0, 0)","(2, 1, 1, 12)"
E05013643,"(0, 0, 0)","(2, 1, 1, 12)"
E05013649,"(1, 0, 1)","(2, 0, 0, 12)"
E05013641,"(0, 0, 1)","(3, 1, 0, 12)"
E05013642,"(2, 0, 0)","(2, 1, 0, 12)"
E05013631,"(1, 0, 1)","(0, 0, 0, 12)"
E05013634,"(0, 0, 0)","(0, 1, 1, 12)"
E05011232,"(1, 0, 1)","(0, 1, 1, 12)"
E05011218,"(1, 0, 1)","(3, 1, 1, 12)"
E05011225,"(1, 0, 1)","(0, 0, 0, 12)"
E05011233,"(1, 0, 0)","(3, 1, 0, 12)"
E05011228,"(2, 0, 0)","(0, 0, 0, 12)"
E05011231,"(1, 0, 1)","(0, 0, 0, 12)"
E05011223,"(1, 0, 2)","(3, 1, 0, 12)"
E05011222,"(1, 0, 0)","(0, 0, 0, 12)"
E05011224,"(1, 0, 1)","(3, 1, 0, 12)"
E05011217,"(2, 0, 0)","(3, 1, 0, 12)"
E05011219,"(1, 0, 0)","(1, 1, 1, 12)"
E05011226,"(1, 0, 0)","(3, 1, 1, 12)"
E05011220,"(1, 0, 0)","(3, 1, 0, 12)"
E05011221,"(1, 0, 1)","(0, 0, 0, 12)"
E05011229,"(1, 0, 0)","(0, 0, 0, 12)"
E05011227,"(1, 0, 1)","(0, 0, 0, 12)"
E05011230,"(1, 0, 1)","(0, 0, 0, 12)"
E05013508,"(1, 0, 0)","(0, 1, 1, 12)"
E05013504,"(0, 0, 1)","(3, 1, 0, 12)"
E05013502,"(0, 0, 0)","(0, 1, 1, 12)"
E05013513,"(1, 0, 1)","(3, 1, 0, 12)"
E05013497,"(0, 0, 0)","(0, 1, 1, 12)"
E05013506,"(1, 0, 1)","(0, 0, 0, 12)"
E05013505,"(0, 0, 0)","(3, 1, 0, 12)"
E05013500,"(1, 0, 1)","(2, 1, 0, 12)"
E05013515,"(1, 0, 1)","(0, 0, 0, 12)"
E05013511,"(1, 0, 0)","(1, 0, 0, 12)"
E05013509,"(0, 0, 0)","(0, 1, 1, 12)"
E05013499,"(1, 0, 1)","(0, 0, 1, 12)"
E05013516,"(3, 0, 0)","(0, 0, 0, 12)"
E05013512,"(0, 0, 0)","(3, 1, 1, 12)"
E05013517,"(1, 0, 1)","(0, 0, 0, 12)"
E05013514,"(1, 0, 0)","(2, 1, 0, 12)"
E05013510,"(2, 0, 0)","(3, 1, 1, 12)"
E05013498,"(0, 0, 0)","(3, 1, 0, 12)"
E05013501,"(1, 0, 0)","(3, 1, 0, 12)"
