New ward code,Year,Population,Square Kilometres,Population per square kilometre
E05009317,2013,14803.0,0.868,17068.678471924355
E05009317,2014,15207.666666666666,0.868,17534.018100393932
E05009317,2015,15666.666666666666,0.868,18058.623231769234
E05009317,2016,15939.0,0.868,18372.89128438954
E05009317,2017,15867.0,0.868,18292.444568673753
E05009317,2018,15803.333333333334,0.868,18222.576586320647
E05009317,2019,15752.666666666666,0.868,18167.574157157535
E05009317,2020,15634.333333333334,0.868,18032.859594167578
E05009317,2021,15476.666666666666,0.868,17852.07724529276
E05009317,2022,15317.333333333334,0.868,17669.86708996577
E05009317,2023,15316.666666666666,0.868,17670.914152491783
E05009317,2024,15349.666666666666,0.868,17710.082451583647
E05009317,2025,15412.0,0.868,17781.519729498857
E05009318,2013,23299.5,2.7125000000000004,8713.65163256357
E05009318,2014,24081.5,2.7125000000000004,9003.913745532289
E05009318,2015,24955.5,2.7125000000000004,9326.125830021201
E05009318,2016,25868.0,2.7125000000000004,9663.512496973077
E05009318,2017,28023.0,2.7125000000000004,10456.732972378835
E05009318,2018,30273.5,2.7125000000000004,11286.50297015475
E05009318,2019,32571.0,2.7125000000000004,12133.439971500993
E05009318,2020,34370.5,2.7125000000000004,12790.929407096175
E05009318,2021,36053.5,2.7125000000000004,13404.965949008389
E05009318,2022,37651.5,2.7125000000000004,13988.015924011426
E05009318,2023,39632.5,2.7125000000000004,14712.924828387553
E05009318,2024,41663.5,2.7125000000000004,15456.151446766067
E05009318,2025,43124.0,2.7125000000000004,15994.742753417508
E05009319,2013,15850.0,1.858,8530.678148546824
E05009319,2014,16496.0,1.858,8878.363832077503
E05009319,2015,17222.0,1.858,9269.106566200215
E05009319,2016,18003.0,1.858,9689.451022604952
E05009319,2017,18180.0,1.858,9784.714747039827
E05009319,2018,18381.0,1.858,9892.895586652314
E05009319,2019,18596.0,1.858,10008.611410118407
E05009319,2020,19334.0,1.858,10405.812701829924
E05009319,2021,20025.0,1.858,10777.717976318621
E05009319,2022,20700.0,1.858,11141.011840688912
E05009319,2023,21559.0,1.858,11603.336921420881
E05009319,2024,22447.0,1.858,12081.270182992464
E05009319,2025,22941.0,1.858,12347.147470398277
E05009320,2013,13407.0,1.347,9953.229398663698
E05009320,2014,14002.0,1.347,10394.951744617669
E05009320,2015,14278.0,1.347,10599.85152190052
E05009320,2016,14628.0,1.347,10859.688195991092
E05009320,2017,14487.0,1.347,10755.011135857461
E05009320,2018,14394.0,1.347,10685.96881959911
E05009320,2019,14322.0,1.347,10632.516703786192
E05009320,2020,14155.0,1.347,10508.537490720119
E05009320,2021,13955.0,1.347,10360.059391239793
E05009320,2022,13746.0,1.347,10204.899777282852
E05009320,2023,13666.0,1.347,10145.508537490721
E05009320,2024,13608.0,1.347,10102.449888641426
E05009320,2025,13533.0,1.347,10046.770601336302
E05009321,2013,16393.5,1.072,15291.288570981047
E05009321,2014,17325.5,1.072,16160.471814685252
E05009321,2015,18090.5,1.072,16873.780434744775
E05009321,2016,18627.0,1.072,17373.90661167093
E05009321,2017,19026.5,1.072,17746.376546755077
E05009321,2018,19464.5,1.072,18154.726848709513
E05009321,2019,19898.5,1.072,18559.33535216415
E05009321,2020,19911.5,1.072,18571.222088793747
E05009321,2021,19895.0,1.072,18555.5752797647
E05009321,2022,19853.0,1.072,18516.175011747506
E05009321,2023,20001.5,1.072,18654.432725943716
E05009321,2024,20176.0,1.072,18816.939034790023
E05009321,2025,20442.5,1.072,19065.1499329957
E05009322,2013,17088.0,1.074,15910.614525139665
E05009322,2014,18148.0,1.074,16897.579143389197
E05009322,2015,19093.0,1.074,17777.467411545622
E05009322,2016,19826.0,1.074,18459.96275605214
E05009322,2017,20340.0,1.074,18938.54748603352
E05009322,2018,20912.0,1.074,19471.135940409684
E05009322,2019,21486.0,1.074,20005.58659217877
E05009322,2020,21637.0,1.074,20146.182495344507
E05009322,2021,21767.0,1.074,20267.22532588454
E05009322,2022,21852.0,1.074,20346.368715083798
E05009322,2023,22155.0,1.074,20628.49162011173
E05009322,2024,22487.0,1.074,20937.616387337057
E05009322,2025,22978.0,1.074,21394.785847299812
E05009323,2013,23299.5,2.7125000000000004,8713.65163256357
E05009323,2014,24081.5,2.7125000000000004,9003.913745532289
E05009323,2015,24955.5,2.7125000000000004,9326.125830021201
E05009323,2016,25868.0,2.7125000000000004,9663.512496973077
E05009323,2017,28023.0,2.7125000000000004,10456.732972378835
E05009323,2018,30273.5,2.7125000000000004,11286.50297015475
E05009323,2019,32571.0,2.7125000000000004,12133.439971500993
E05009323,2020,34370.5,2.7125000000000004,12790.929407096175
E05009323,2021,36053.5,2.7125000000000004,13404.965949008389
E05009323,2022,37651.5,2.7125000000000004,13988.015924011426
E05009323,2023,39632.5,2.7125000000000004,14712.924828387553
E05009323,2024,41663.5,2.7125000000000004,15456.151446766067
E05009323,2025,43124.0,2.7125000000000004,15994.742753417508
E05009324,2013,23299.5,2.7125000000000004,8713.65163256357
E05009324,2014,24081.5,2.7125000000000004,9003.913745532289
E05009324,2015,24955.5,2.7125000000000004,9326.125830021201
E05009324,2016,25868.0,2.7125000000000004,9663.512496973077
E05009324,2017,28023.0,2.7125000000000004,10456.732972378835
E05009324,2018,30273.5,2.7125000000000004,11286.50297015475
E05009324,2019,32571.0,2.7125000000000004,12133.439971500993
E05009324,2020,34370.5,2.7125000000000004,12790.929407096175
E05009324,2021,36053.5,2.7125000000000004,13404.965949008389
E05009324,2022,37651.5,2.7125000000000004,13988.015924011426
E05009324,2023,39632.5,2.7125000000000004,14712.924828387553
E05009324,2024,41663.5,2.7125000000000004,15456.151446766067
E05009324,2025,43124.0,2.7125000000000004,15994.742753417508
E05009325,2013,20805.666666666668,2.2163333333333335,10116.83529316874
E05009325,2014,21545.666666666668,2.2163333333333335,10488.992605953988
E05009325,2015,22351.0,2.2163333333333335,10885.717873608906
E05009325,2016,23475.666666666668,2.2163333333333335,11532.483276849154
E05009325,2017,25027.666666666668,2.2163333333333335,12155.523506640357
E05009325,2018,26684.0,2.2163333333333335,12836.15448554979
E05009325,2019,28381.0,2.2163333333333335,13535.855405837263
E05009325,2020,29855.0,2.2163333333333335,14198.31023653906
E05009325,2021,31249.0,2.2163333333333335,14829.890153369428
E05009325,2022,32592.0,2.2163333333333335,15445.441988556639
E05009325,2023,34255.666666666664,2.2163333333333335,16208.943349643989
E05009325,2024,35956.666666666664,2.2163333333333335,16987.924493922477
E05009325,2025,37248.666666666664,2.2163333333333335,17607.06161774675
E05009326,2013,16838.0,1.0525,16020.791619155694
E05009326,2014,17400.5,1.0525,16544.680771741838
E05009326,2015,17735.0,1.0525,16860.212267196242
E05009326,2016,18334.5,1.0525,17403.96782529784
E05009326,2017,18187.0,1.0525,17263.821827949363
E05009326,2018,18087.5,1.0525,17167.90467980788
E05009326,2019,17997.0,1.0525,17080.031207206026
E05009326,2020,17817.0,1.0525,16908.82212801865
E05009326,2021,17616.0,1.0525,16717.352461386537
E05009326,2022,17384.0,1.0525,16496.295962885975
E05009326,2023,17319.0,1.0525,16434.57671134971
E05009326,2024,17263.5,1.0525,16381.908640722493
E05009326,2025,17233.5,1.0525,16348.477284754845
E05009327,2013,16845.0,1.106,15212.951536081968
E05009327,2014,17617.0,1.106,15912.645465407464
E05009327,2015,18105.0,1.106,16357.20084455865
E05009327,2016,18759.0,1.106,16939.897212629097
E05009327,2017,18821.5,1.106,17003.022243318002
E05009327,2018,18928.0,1.106,17105.235936298013
E05009327,2019,19037.5,1.106,17209.781986022226
E05009327,2020,18878.5,1.106,17066.869895412212
E05009327,2021,18691.0,1.106,16897.882056402115
E05009327,2022,18484.5,1.106,16712.079971193347
E05009327,2023,18446.0,1.106,16678.19041851482
E05009327,2024,18424.0,1.106,16659.42681310048
E05009327,2025,18459.0,1.106,16691.312175720574
E05009328,2013,19962.0,2.0545,11573.127962756698
E05009328,2014,20731.5,2.0545,12031.768749885634
E05009328,2015,21405.0,2.0545,12364.065136820258
E05009328,2016,22374.0,2.0545,12951.347779456093
E05009328,2017,23490.5,2.0545,13284.564535636306
E05009328,2018,24674.5,2.0545,13659.113795238574
E05009328,2019,25894.5,2.0545,14050.105450675468
E05009328,2020,26867.0,2.0545,14325.901170906829
E05009328,2021,27773.5,2.0545,14574.33534790459
E05009328,2022,28612.5,2.0545,14791.40141675181
E05009328,2023,29738.0,2.0545,15151.619950217126
E05009328,2024,30897.5,2.0545,15525.990950071333
E05009328,2025,31708.0,2.0545,15806.703127278051
E05009329,2013,16319.5,0.9590000000000001,17019.878847413227
E05009329,2014,16945.5,0.9590000000000001,17665.65597031216
E05009329,2015,17543.5,0.9590000000000001,18289.14429163938
E05009329,2016,17961.5,0.9590000000000001,18718.428290766205
E05009329,2017,17922.0,0.9590000000000001,18672.543112857456
E05009329,2018,17880.0,0.9590000000000001,18623.558175070946
E05009329,2019,17877.0,0.9590000000000001,18614.36476751801
E05009329,2020,17642.0,0.9590000000000001,18367.80724732591
E05009329,2021,17387.5,0.9590000000000001,18100.227024667103
E05009329,2022,17132.0,0.9590000000000001,17831.793276577166
E05009329,2023,17031.0,0.9590000000000001,17724.91595721458
E05009329,2024,16954.0,0.9590000000000001,17643.86815105872
E05009329,2025,16907.5,0.9590000000000001,17593.103034271993
E05009330,2013,14420.0,1.2345,12511.35127196303
E05009330,2014,14862.0,1.2345,12876.918080533527
E05009330,2015,15517.5,1.2345,13364.22017020185
E05009330,2016,15725.5,1.2345,13545.578847641626
E05009330,2017,15737.0,1.2345,13527.942229007129
E05009330,2018,15791.5,1.2345,13543.912615374433
E05009330,2019,15852.0,1.2345,13564.241476461755
E05009330,2020,15878.0,1.2345,13550.242436277735
E05009330,2021,15869.0,1.2345,13508.697298035273
E05009330,2022,15834.0,1.2345,13444.271718939404
E05009330,2023,15955.0,1.2345,13513.571880701493
E05009330,2024,16085.5,1.2345,13590.864992780695
E05009330,2025,16154.0,1.2345,13619.87563763637
E05009331,2013,14526.0,0.8519999999999999,17071.351041219867
E05009331,2014,14893.5,0.8519999999999999,17503.249372813123
E05009331,2015,15302.0,0.8519999999999999,17979.045958764964
E05009331,2016,15565.5,0.8519999999999999,18289.336926584314
E05009331,2017,15512.5,0.8519999999999999,18229.777964121742
E05009331,2018,15477.0,0.8519999999999999,18191.64265725875
E05009331,2019,15449.5,0.8519999999999999,18163.027902402966
E05009331,2020,15394.0,0.8519999999999999,18096.511613473587
E05009331,2021,15294.0,0.8519999999999999,17977.004756828028
E05009331,2022,15190.5,0.8519999999999999,17854.245079393102
E05009331,2023,15249.0,0.8519999999999999,17921.92678429323
E05009331,2024,15340.5,0.8519999999999999,18027.34589959769
E05009331,2025,15473.5,0.8519999999999999,18178.390705359398
E05009332,2013,15685.0,0.963,16287.642782969886
E05009332,2014,16070.0,0.963,16687.435098650054
E05009332,2015,16348.0,0.963,16976.116303219107
E05009332,2016,16579.0,0.963,17215.99169262721
E05009332,2017,16444.0,0.963,17075.80477673936
E05009332,2018,16336.0,0.963,16963.655244029076
E05009332,2019,16230.0,0.963,16853.582554517136
E05009332,2020,16063.0,0.963,16680.166147455868
E05009332,2021,15873.0,0.963,16482.866043613707
E05009332,2022,15653.0,0.963,16254.41329179647
E05009332,2023,15594.0,0.963,16193.146417445483
E05009332,2024,15544.0,0.963,16141.22533748702
E05009332,2025,15456.0,0.963,16049.844236760126
E05009333,2013,12977.666666666666,0.766,16937.332887417855
E05009333,2014,13554.666666666666,0.766,17695.545813164903
E05009333,2015,14276.333333333334,0.766,18698.520881336925
E05009333,2016,14515.0,0.766,19016.963652768012
E05009333,2017,14440.0,0.766,18923.654701239026
E05009333,2018,14370.0,0.766,18834.88192477921
E05009333,2019,14312.666666666666,0.766,18762.878141665846
E05009333,2020,14194.333333333334,0.766,18596.699011206114
E05009333,2021,14033.666666666666,0.766,18372.59682990349
E05009333,2022,13866.0,0.766,18140.17989435598
E05009333,2023,13851.333333333334,0.766,18110.143385307732
E05009333,2024,13873.666666666666,0.766,18128.936258826463
E05009333,2025,14020.333333333334,0.766,18299.21549299345
E05009334,2013,16699.5,0.968,17266.534620833707
E05009334,2014,17496.5,0.968,18093.368388612813
E05009334,2015,18268.5,0.968,18900.29897573524
E05009334,2016,18954.0,0.968,19617.818268979718
E05009334,2017,19196.5,0.968,19880.320890635234
E05009334,2018,19428.5,0.968,20131.118087924977
E05009334,2019,19702.5,0.968,20424.72424464219
E05009334,2020,19781.0,0.968,20522.32794449367
E05009334,2021,19815.0,0.968,20571.991730549456
E05009334,2022,19827.5,0.968,20598.449049997645
E05009334,2023,20036.0,0.968,20830.01399643027
E05009334,2024,20287.0,0.968,21107.17969789968
E05009334,2025,20400.0,0.968,21231.022424250208
E05009335,2013,13945.0,0.779,17901.155327342745
E05009335,2014,14933.0,0.779,19169.448010269574
E05009335,2015,15505.0,0.779,19903.72272143774
E05009335,2016,15717.0,0.779,20175.86649550706
E05009335,2017,15645.0,0.779,20083.44030808729
E05009335,2018,15614.0,0.779,20043.64569961489
E05009335,2019,15608.0,0.779,20035.94351732991
E05009335,2020,15439.0,0.779,19818.99871630295
E05009335,2021,15222.0,0.779,19540.436456996147
E05009335,2022,15015.0,0.779,19274.71116816431
E05009335,2023,14960.0,0.779,19204.107830551988
E05009335,2024,14912.0,0.779,19142.490372272143
E05009335,2025,15140.0,0.779,19435.17329910141
E05009336,2013,14636.0,1.212,13145.852320565235
E05009336,2014,15296.0,1.212,13758.690727286932
E05009336,2015,16266.5,1.212,14596.205591577047
E05009336,2016,16771.5,1.212,15106.97297954153
E05009336,2017,17077.5,1.212,15406.706507304118
E05009336,2018,17400.0,1.212,15711.867128436148
E05009336,2019,17742.0,1.212,16036.143009660704
E05009336,2020,18043.0,1.212,16317.457837495336
E05009336,2021,18281.0,1.212,16540.140093221882
E05009336,2022,18488.5,1.212,16734.276402017204
E05009336,2023,18889.0,1.212,17106.541155638883
E05009336,2024,19330.5,1.212,17521.34164865592
E05009336,2025,19563.0,1.212,17726.76179812341
E05009367,2013,11861.0,0.841,14103.448275862069
E05009367,2014,11991.0,0.841,14258.026159334127
E05009367,2015,12787.0,0.841,15204.518430439954
E05009367,2016,13104.0,0.841,15581.450653983353
E05009367,2017,13880.0,0.841,16504.161712247325
E05009367,2018,14710.0,0.841,17491.082045184306
E05009367,2019,15593.0,0.841,18541.0225921522
E05009367,2020,15740.0,0.841,18715.814506539835
E05009367,2021,15827.0,0.841,18819.262782401904
E05009367,2022,15894.0,0.841,18898.929845422117
E05009367,2023,15927.0,0.841,18938.168846611177
E05009367,2024,15938.0,0.841,18951.2485136742
E05009367,2025,15924.0,0.841,18934.6016646849
E05009368,2013,13337.0,0.8180000000000001,16855.859010270775
E05009368,2014,13580.0,0.8180000000000001,17178.40250135142
E05009368,2015,13775.5,0.8180000000000001,17421.623912722982
E05009368,2016,13980.0,0.8180000000000001,17677.79743476338
E05009368,2017,14026.5,0.8180000000000001,17739.19480072731
E05009368,2018,14083.5,0.8180000000000001,17815.737259816207
E05009368,2019,14158.5,0.8180000000000001,17917.155019902697
E05009368,2020,14273.0,0.8180000000000001,18047.923116615064
E05009368,2021,14388.0,0.8180000000000001,18171.808196962993
E05009368,2022,14497.0,0.8180000000000001,18287.127131554375
E05009368,2023,14581.0,0.8180000000000001,18369.39468769964
E05009368,2024,14652.5,0.8180000000000001,18434.622094451814
